Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
10614877,2,2,0,0,2,2,0,0,-11.961312323612418,0
04061664,31,4,27,0,1,1,0,1,0.1,0
06678335,7,4,3,0,3,1,2,1,0.1,0
10398700,8,6,2,0,1,0,1,1,0.0,1
05628568,10,4,6,0,2,1,1,2,0.1,1
06050916,5,3,2,0,2,2,0,0,1.0,1
01812893,62,10,52,0,0,0,0,0,0.1,1
11907200,1,1,0,0,1,1,0,0,0.1,0
02586027,35,0,35,0,0,0,0,0,0.1,1
11022961,3,0,3,0,2,1,1,0,0.1,1
11191064,1,1,0,0,0,0,0,0,0.1,0
SC109852,34,5,29,0,0,0,0,0,0.1,1
SC581008,2,2,0,0,3,3,0,1,0.1,0
09861371,10,9,1,0,0,0,0,0,0.0,1
CE000556,0,0,0,0,0,0,0,0,0.1,0
SC232581,11,2,9,0,1,1,0,0,375.77245508982037,1
10445236,5,4,1,0,1,1,0,1,0.1,1
03440398,5,3,2,0,2,2,0,0,727.5,1
SC248017,4,3,1,0,1,1,0,0,0.0,1
08204619,2,0,2,0,0,0,0,0,0.1,1
04639449,10,3,7,0,2,1,1,0,0.7618834080717489,1
07287992,2,0,2,0,2,2,0,0,-1.0719525959367946,1
05145334,22,6,16,0,1,1,0,1,0.1,1
09712416,2,0,2,0,2,2,0,2,0.1,1
04115032,6,2,4,0,2,2,0,0,0.1,1
02610559,37,7,30,0,0,0,0,0,0.1,1
FC029501,7,0,7,0,0,0,0,0,0.1,1
SC557512,2,2,0,0,1,1,0,0,29.15,0
SC128179,21,8,13,0,1,1,0,0,3.78342033383915,1
08657564,2,2,0,0,2,2,0,0,0.0,1
05663740,15,2,13,0,0,0,0,0,-1.0283645213117854,1
03765272,4,2,2,0,1,1,0,0,-0.0,1
SC064153,9,2,7,2,1,1,0,0,0.1,1
IP031479,0,0,0,0,0,0,0,0,0.1,0
07738420,2,0,2,0,0,0,0,0,0.1,1
09486529,1,1,0,0,1,1,0,0,0.0,0
01852345,11,4,7,0,0,0,0,0,427.3,0
07575430,2,2,0,0,2,2,0,0,0.1,1
07108454,3,0,3,0,0,0,0,0,-1.0,1
SC044778,13,6,7,0,0,0,0,0,0.1,1
07615079,6,2,4,0,1,1,0,1,0.1,1
07060502,2,0,2,0,1,1,0,0,2218.0,0
00513178,17,0,17,0,0,0,0,0,0.1,1
OC325014,4,4,0,0,1,1,0,0,0.1,1
06450355,3,0,3,0,0,0,0,0,0.1,1
05175186,4,2,2,0,1,1,0,0,1687.28,0
02984663,5,3,2,0,2,2,0,0,5368.0,1
SC137531,130,13,117,0,1,1,0,1,0.1,1
SC152258,36,0,36,0,0,0,0,0,0.1,0
09308676,2,2,0,0,2,2,0,0,0.0,0
07705065,11,0,11,0,4,4,0,1,0.0,1
01966190,64,21,43,0,0,0,0,0,0.05811576184555878,1
01188467,15,0,15,0,0,0,0,0,0.0,1
03758673,14,0,14,0,1,1,0,1,0.1,1
11232971,3,3,0,0,2,2,0,0,0.1,1
02067075,35,5,30,0,1,1,0,1,0.1,1
SC269136,4,0,4,0,0,0,0,0,0.1,0
02813292,23,2,21,0,1,1,0,1,0.1,1
05465508,8,4,4,0,1,1,0,0,0.1,1
02897384,9,2,7,0,1,1,0,0,1.1206679799249661,0
02476398,26,6,20,0,1,1,0,1,94.3864,1
08251061,3,0,3,0,0,0,0,0,0.0,1
02215568,27,0,27,0,0,0,0,0,0.1,0
00544627,7,3,4,0,1,1,0,0,2.57365,1
01998698,29,0,29,0,0,0,0,0,0.1,1
SC165744,7,3,4,0,2,2,0,0,1940.9633333333334,0
09902509,2,1,1,0,1,1,0,0,0.0,0
06470644,5,2,3,0,1,1,0,0,781.59,1
SC348612,2,2,0,0,1,1,0,0,0.0,0
