Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
00248343,80,11,69,0,0,0,0,0,1
00248751,36,5,31,0,1,1,0,1,1
00249071,20,4,16,0,1,1,0,1,1
00249974,0,0,0,0,0,0,0,0,0
00249996,7,0,7,0,1,1,0,0,0
00252860,13,4,9,0,1,1,0,0,1
00253366,5,4,1,0,4,3,1,0,0
00255427,0,0,0,0,0,0,0,0,0
00255852,29,5,24,0,1,1,0,1,1
00259345,51,3,48,0,1,1,0,1,1
00263047,34,4,30,0,2,2,0,2,1
00269238,8,3,5,0,1,1,0,0,0
00269422,41,0,41,0,0,0,0,0,1
00270903,42,4,38,0,1,1,0,1,1
00272562,20,2,18,0,1,1,0,1,1
00275642,16,5,11,0,1,1,0,1,1
00275947,24,5,19,0,1,1,0,1,1
00276180,46,1,45,0,1,1,0,1,1
00281055,39,1,38,0,1,1,0,1,1
00281992,28,7,21,0,1,1,0,1,1
00283556,55,3,52,0,1,1,0,1,1
00284340,30,4,26,0,1,1,0,1,1
00285257,23,5,18,0,1,1,0,1,1
00285519,34,3,31,0,1,1,0,1,1
00288008,26,5,21,0,2,1,1,2,1
00290029,14,6,8,0,1,1,0,0,0
00290076,26,2,24,0,1,1,0,1,1
00291686,46,5,41,0,1,1,0,1,1
00292254,32,8,24,0,1,1,0,0,0
00292689,220,5,215,0,1,1,0,1,1
00293671,6,4,2,0,1,1,0,0,0
00294490,36,5,31,0,1,1,0,1,1
00295894,117,11,106,0,0,0,0,0,0
00296531,12,4,8,0,0,0,0,0,1
00297895,3,0,3,0,0,0,0,0,0
00298761,8,3,5,0,2,1,1,0,0
00299435,16,5,11,0,1,1,0,1,1
00300000,20,3,17,0,1,1,0,1,0
00300002,66,10,56,0,1,1,0,1,1
00300433,185,17,168,0,0,0,0,0,0
00300714,20,5,15,0,1,1,0,1,1
00301188,21,2,19,0,1,1,0,1,1
00301291,28,3,25,0,0,0,0,0,0
00301641,0,0,0,0,0,0,0,0,0
00305430,32,1,31,0,1,1,0,1,1
00307291,31,5,26,0,1,1,0,1,1
00307468,32,7,25,0,1,1,0,1,1
00308066,10,6,4,0,1,1,0,0,0
00308632,66,11,55,0,0,0,0,0,1
00308999,12,4,8,0,0,0,0,0,1
00309463,0,0,0,0,0,0,0,0,0
00309615,7,4,3,0,1,1,0,0,0
00311950,9,3,6,0,2,2,0,1,0
00312076,21,2,19,0,1,1,0,1,1
00312083,30,3,27,0,1,1,0,1,1
00313430,31,3,28,0,1,1,0,1,1
00314205,53,8,45,0,1,1,0,1,1
00314534,16,3,13,0,1,1,0,0,0
